site,url,hero_type,hero_has_human,color_mode,color_chroma,color_temperature,color_field,color_accent,levers,hook_one_liner,trust_move,desire_move,confidence,evidence_notes
NOVOS,https://novoslabs.com/,typography-led,no,dark,muted,mixed,tech-black,identity-color,social-proof-numbers|social-proof-logos|authority|transformation|one-sentence-promise|competence-precision,"Feel, think, look, and live Younger for Longer","Scrolling ticker cites 2,000+ clinicians, 15M+ servings, 81% feel difference, clinically studied",You can impact how fast you age — anti-aging transformation on dark premium canvas,high,"Dark hero with orange accent, serif headline, social-proof ticker, Shop now and Discover the science CTAs"
Prenuvo,https://www.prenuvo.com/,human-photo,yes,dark,saturated,warm,other,identity-color,warmth-belonging|identity-aspiration|specificity-named-method|ritual-lifestyle|single-cta,See the full picture of your health. Year after year.,"Whole Body MRI, blood biomarker testing, and starting-at-$1,199 price transparency",Sun-dappled forest couple imagery links scanning to long-term vitality and togetherness,high,"Full hero: couple walking in forest, teal accent on full picture, Book your scan CTA | color_field other: photographic full-bleed / non-token field."
Elysium Health,https://elysiumhealth.com/,mixed,yes,light,muted,cool,clinical-white,identity-color,authority|social-proof-logos|scarcity-exclusivity|product-as-demo|transformation,Creatine+ for longevity,"Men's Journal, TIME, VOGUE, Fast Company, WIRED, New York, Good Housekeeping logo row",Exclusive Offer modal with 10%/15% discount for newsletter signup; powder-dissolving product demo,medium,"Promotional modal obscures hero; Creatine+ headline, hand-pouring sachet visual, and media logos visible"
Timeline,https://www.timelinenutrition.com/,mixed,no,light,saturated,mixed,clinical-white,identity-color,authority|social-proof-numbers|competence-precision|specificity-named-method|single-cta,No other supplement does this.,"#1 Doctor Recommended Urolithin A badge and 4.7 from 13,412 reviews ticker",Macro red Mitopure capsule on soft grey gradient signals proprietary uniqueness,high,"Clean hero with red pill macro shot, mitopure branding, SHOP NOW CTA, review ticker below"
Seed,https://seed.com/,mixed,no,light,muted,warm,editorial-paper,identity-color,transformation|competence-precision|ritual-lifestyle|one-sentence-promise,"A life-changing health routine, built for your microbiome.","Scientific product codes (DS-01, AM-02, PM-02, DM-02) and formulations designed for real results",Four product jars on warm wooden table in serene home setting evokes daily wellness ritual,high,"Lifestyle product photo with forest-green headline, Take the Quiz and Shop Now CTAs"
Quest Health,https://questhealth.com/,human-photo,yes,light,saturated,warm,brand-color-field,identity-color,loss-aversion|regulatory-promotion|specificity-named-method|ritual-lifestyle|authority,"Stop guessing, start testing: Up to 20% off autoimmune tests",Quest brand authority plus ANA Screen IFA Negative result overlay on hero image,Active pickleball lifestyle photo connects proactive testing to everyday vitality,high,"Mint-green hero box, woman on pickleball court, test-result UI card, Save now CTA"
Vivoo,https://vivoo.io/,mixed,no,split,saturated,mixed,other,identity-color,social-proof-logos|specificity-named-method|product-as-demo|one-sentence-promise|ritual-lifestyle,Don't let summer throw off your balance — your morning routine just got smarter,"Forbes, TechCrunch, Wired, Engadget, Wellness As Seen On logo bar",At-home pH test kit in travel bag plus Smart Toilet 30-second phone results promise,high,"Split hero: pink-tile lifestyle photo left, dark sidebar right, blue CTAs, media logos below | color_field other: photographic full-bleed / non-token field."
GlycanAge,https://glycanage.com/,abstract-gradient,no,light,saturated,cool,clinical-white,identity-color,competence-precision|transformation|one-sentence-promise|regulatory-promotion|authority,Measure your biological age. Discover what works for you.,IgG glycans science framing and science-backed chronic-inflammation view,Saturated green macro leaf hero signals natural biological discovery,medium,Hero visible but Privacy Settings cookie banner and orange browser-warning banner occupy bottom viewport
Lumen (lumen.me),https://www.lumen.me/,product-ui,no,dark,muted,cool,tech-black,identity-color,one-sentence-promise|product-as-demo|authority|regulatory-promotion|competence-precision,Your breath knows what to eat today,Clinically Validated and HSA/FSA eligible badges below CTAs,Handheld CO2 sensor plus app showing 75%/25% fat-carb burn split demo,high,"Dark rounded hero container, device and phone UI visible, Get Lumen and Take quiz CTAs"
Dexcom,https://www.dexcom.com/,human-photo,yes,light,muted,warm,clinical-white,identity-color,authority|competence-precision|specificity-named-method|ritual-lifestyle|transformation,Dexcom G7 15 Day: the longest-lasting sensor ever,A1C and time-in-range clinical claims with citation footnotes; celebrity with visible sensor,Nick Jonas musician-at-home lifestyle frames CGM as freedom and convenience,medium,Hero photo and headline clear; large cookie consent banner covers lower portion of viewport
Noom,https://www.noom.com/,mixed,yes,light,saturated,warm,editorial-paper,CTA-only,authority|transformation|product-as-demo|specificity-named-method|single-cta,Meds to lose the weight. Noom to keep it off.,Celebrity Rebel Wilson endorsement plus doctor-update messaging on app card,Dual NOOM MED and NOOM WEIGHT cards show GLP-1 vial and psychology-based app progress,high,"Rebel Wilson hero photo, two product pathway cards, SEE IF YOU QUALIFY and START YOUR TRIAL CTAs"
MacroFactor,https://macrofactorapp.com/,typography-led,no,dark,muted,cool,tech-black,CTA-only,one-sentence-promise|single-cta|competence-precision|identity-aspiration,EAT SMARTER,Stark minimalist pro-tool aesthetic signals precision and no-nonsense utility,Monochrome dark canvas with single DOWNLOAD CTA appeals to optimization-minded users,high,"Solid black background, white EAT SMARTER headline, single white DOWNLOAD pill button"
Lifesum,https://lifesum.com/,human-photo,yes,light,saturated,warm,editorial-paper,identity-color,warmth-belonging|specificity-named-method|transformation|single-cta|ritual-lifestyle,Healthy eating. Simplified with AI.,"Clean professional layout with clear multi-benefit subhead (weight, mood, sleep, longevity)",Golden-hour woman with steaming mug evokes peaceful morning wellness ritual,high,"Full-bleed warm lifestyle photo, green GET STARTED WITH LIFESUM CTA, AI headline"
MyFitnessPal,https://www.myfitnesspal.com/,mixed,no,dark,saturated,mixed,brand-color-field,identity-color,social-proof-numbers|authority|one-sentence-promise|single-cta|ritual-lifestyle|regulatory-promotion,The world's #1 nutrition tracking app,280 million users social-proof number plus #1 authority claim,Healthy food bowl photo paired with journey and lasting-habits language,medium,Split hero clear; cookie consent banner partially obscures bottom of food imagery
HigherDose,https://higherdose.com/,mixed,yes,dark,saturated,warm,brand-color-field,identity-color,social-proof-logos|transformation|ritual-lifestyle|single-cta|specificity-named-method|one-sentence-promise,Your Best Hair Ever Is One Red Light Ritual Away,"Vogue, WWD, and Shape logos in In the spotlight bar",Dramatic red-light glow on woman's hair with scalp serum and red-light brush products,high,"Dark burgundy hero, woman's face and products in red glow, SHOP NOW CTA, media logos below"
Therabody,https://www.therabody.com/,product-ui,no,light,muted,warm,editorial-paper,CTA-only,regulatory-promotion|scarcity-exclusivity|single-cta|product-as-demo,Save up to 20% extra,Certified Refurbished quality assurance on sale messaging,"Warehouse Sale limited-time savings on recovery, wellness, and beauty devices",high,"Product still-life on taupe pedestals, Shop sale CTA, sign-in modal with member benefits"
Nutrisense,https://www.nutrisense.io/,mixed,yes,light,muted,warm,editorial-paper,identity-color,social-proof-logos|warmth-belonging|competence-precision|transformation|one-sentence-promise|single-cta,Stop starting over. Train the habits that outlast diets,Trustpilot Excellent 5-star rating plus 24/7 glucose data and expert coaching claims,"Lifestyle photo collage (cooking, eating, coaching call) promises lasting habit change",high,"Split layout: green headline and Get Started CTA left, human/product collage right, 15% off badge"
Hyperice,https://hyperice.com/,video-loop,yes,light,saturated,warm,other,CTA-only,identity-aspiration|product-as-demo|ritual-lifestyle|single-cta|transformation|authority,Summer training starts now,Best Buy pickup bar and FSA/HSA-eligible product badges below fold,Athlete in golden-hour recovery scene using massage gun on-field,high,Full-bleed lifestyle hero with pause control; white Shop now pill CTA; seasonal training kit headline visible below hero | color_field other: photographic full-bleed / non-token field.
Ritual,https://ritual.com/,human-photo,yes,light,saturated,mixed,editorial-paper,identity-color,scarcity-exclusivity|ritual-lifestyle|identity-aspiration|regulatory-promotion|single-cta|one-sentence-promise,Ritual Reset Sale,Our Standards nav link and visible product bottle in hero photo,40% off sitewide plus free $50 gift; glowing woman holding Essential for Women bottle,high,Limited-time navy banner; navy/yellow brand palette; cookie modal present but hero offer fully legible
Headspace,https://www.headspace.com/,mixed,yes,light,saturated,warm,editorial-paper,identity-color,social-proof-numbers|authority|regulatory-promotion|product-as-demo|warmth-belonging|single-cta,all with Headspace,105M+ downloads claim; expert-led meditations; therapist shown as LCSW in video UI,Split cards for app (Try for $0) and insurance-covered therapy (Check your coverage),high,Cream background; dual product UI cards with human therapist photo; HSA/FSA yellow top bar
AG1,https://drinkag1.com/,typography-led,no,light,muted,cool,clinical-white,none,,Live homepage blocked by Vercel Security Checkpoint in this capture environment.,Not observable on live capture.,Not observable on live capture.,low,Vercel bot wall; no marketing coding from live homepage.
Momentous,https://www.livemomentous.com/,product-ui,no,split,muted,cool,tech-black,CTA-only,authority|competence-precision|specificity-named-method|regulatory-prevention|social-proof-numbers|one-sentence-promise|single-cta,The New Standard in Creatine Quality,"Quantified purity bar: 10X fewer impurities, 2-5X stricter heavy metal limits, PFAS screening, 6-stage testing",Premium white powder macro on black; Signature Spec positioning as industry benchmark,high,White nav over black product hero; light-blue Shop Now CTA; technical spec icons row below fold
Calm,https://www.calm.com/,human-photo,no,light,muted,cool,clinical-white,identity-color,one-sentence-promise|transformation|authority|ritual-lifestyle|single-cta,Calm your mind. Change your life.,"#1 app for sleep, meditation and relaxation claim",Serene mountain-lake landscape evokes peace; Try Calm for Free in nav,high,Full-bleed nature photo hero; white headline block below; cookie preferences bar at bottom
Moonbird,https://moonbird.life/,abstract-gradient,no,light,muted,warm,editorial-paper,CTA-only,one-sentence-promise|competence-precision|ritual-lifestyle|regulatory-promotion|single-cta|authority,Breathwork works. Moonbird makes it work better.,"Science nav link; 80,000+ customers stat below fold per digest",Soft gradient calm field with promise of better breathwork practice,high,Typography-led hero on cream/beige gradient; neon yellow promo bar; blue Try moonbird CTA
Cronometer,https://cronometer.com/,mixed,yes,dark,saturated,mixed,tech-black,identity-color,authority|social-proof-numbers|competence-precision|product-as-demo|single-cta|transformation,Science-backed nutrition tracking at your fingertips.,"4.8 App Store (58K+), 4.7 Google Play (34K+), +15 million users laurels","UI cards plus lifestyle photos (salad, running couple) tie tracking to healthy outcomes",high,Navy hero split text left / collage right; green Sign Up For Free CTA; orange/green brand accents
Alo Moves,https://www.alomoves.com/,typography-led,no,split,muted,cool,tech-black,none,one-sentence-promise|single-cta|transformation|ritual-lifestyle|scarcity-exclusivity,UNLIMITED WELLNESS. ZERO SUBSCRIPTIONS.,Alo brand equity; premium wellness club positioning now free,Free access to hundreds of programs and thousands of classes,high,Redirects to wellnessclub.aloyoga.com; stark black hero with white JOIN NOW CTA; white section below
Ladder,https://www.joinladder.com/,human-photo,yes,dark,saturated,mixed,tech-black,identity-color,authority|identity-aspiration|social-proof-logos|social-proof-numbers|single-cta|competence-precision,HILARY DUFF TRAINS ON LADDER,App Store 100k+ reviews laurel and Apple App of the Year 2025 finalist badge,Celebrity gym portrait; neon FIND YOUR PLAN CTA with no credit card to start,high,Dark industrial gym photo; lime-green accent CTA and top campaign banner
Zero,https://zerolongevity.com/,typography-led,no,light,saturated,warm,brand-color-field,CTA-only,authority|one-sentence-promise|transformation|competence-precision|ritual-lifestyle,Join the #1 Fasting & Protein App,#1 and leading fasting app claims,"Lose fat, protect muscle, build healthy habits; App Store and Google Play download buttons",high,Full-viewport saturated orange-red field; white centered copy; black store badges
Hevy,https://www.hevyapp.com/,typography-led,no,light,saturated,cool,clinical-white,identity-color,social-proof-numbers|authority|transformation|ritual-lifestyle|one-sentence-promise|social-proof-logos,Log Workouts Get Stronger Stay Motivated,"15+ million athletes; 4.9 ratings (545,000+); Featured on Apple/Men's Health/SI logos",Free tracker promise; build routines and track progress with friends,high,Minimal white hero; blue Get Stronger accent; app store buttons and media logos in viewport
Guava,https://guavahealth.com/,product-ui,no,split,saturated,cool,brand-color-field,none,one-sentence-promise|product-as-demo|competence-precision|privacy-safety|single-cta,An easier way to manage your health,Records UI shows Quest Diagnostics and clinic integrations,"Phone and desktop dashboards display biomarkers, meds, and unified health records",high,Emerald green hero with device mockups; Join for free gray CTA; white nav bar
Athlytic,https://www.athlyticapp.com/,product-ui,no,dark,saturated,cool,tech-black,identity-color,competence-precision|authority|product-as-demo|one-sentence-promise|regulatory-promotion|social-proof-logos,Know when to push. Know when to recover.,MacStories Selects Best Watch App 2025 badge; Loved on the App Store stars,"iPhone and Apple Watch mockups show Recovery, Sleep, Exertion metrics in real time",high,Dark charcoal hero; neon green accent on recover and Get the app CTA
Playbook,https://www.joinplaybook.com/,mixed,yes,light,saturated,cool,clinical-white,identity-color,social-proof-numbers|authority|transformation|one-sentence-promise|single-cta|specificity-named-method,Turn your audience into recurring income,"$233M+ paid to creators; 2,500+ earning creators; 250k+ subscribers; 4.9 app rating","Creator success cards (Dana Linn Bailey $1M+/yr, Autumn Calabrese 1.3M+) at viewport bottom",high,Redirects to playbookapp.io; purple identity CTA; B2B creator positioning with revenue stats column
Finch,https://finchcare.com/,human-illustration,no,light,saturated,mixed,other,identity-color,warmth-belonging|ritual-lifestyle|social-proof-numbers|one-sentence-promise|transformation,Your new self-care best friend.,5.0 stars with 500k+ ratings displayed below store buttons,Gamified pet-care loop: take care of your pet by taking care of yourself,high,Cartoon bird characters on illustrated landscape; playful saturated palette; app store CTAs centered | color_field other: photographic full-bleed / non-token field.
Balance,https://themindcompany.com/apps/balance,typography-led,no,dark,muted,cool,tech-black,CTA-only,one-sentence-promise|transformation|ritual-lifestyle,"Meditation that adapts to you — personalized sessions for sleep, stress, and focus.",Brand parent The Mind Company and adaptive/personalized framing.,Personalized habit ritual that improves sleep and reduces stress.,medium,Screenshot rendered blank/dark; coded from live HTML title/H1/og:description only — visual hero unverified.
Fabulous,https://www.thefabulous.co/,human-illustration,yes,dark,saturated,mixed,brand-color-field,CTA-only,ritual-lifestyle|transformation|one-sentence-promise|single-cta|authority|competence-precision,Find Your Ultimate Daily Routine,Science nav link; Duke Center for Advanced Hindsight origin referenced below fold,Whimsical sunset illustration; HabitatZero desktop launch with serene workspace promise,high,Redirects to v.thefabulous.co/home-control; full-bleed illustrated hero; Download for Mac white CTA
Fiture,https://www.fiture.com/us,human-photo,yes,light,muted,mixed,other,identity-color,product-as-demo|ritual-lifestyle|identity-aspiration|social-proof-logos,none visible in viewport,AS SEEN ON bar at viewport bottom,Woman training at home in front of smart mirror with live UI overlay,high,Lifestyle home-interior photo hero; video element per digest; pale teal brand band at bottom | color_field other: photographic full-bleed / non-token field.
