slug,name,url,category,builder,frontend,hosting,cdn,cms,analytics,pixels,payments,chat,consent,auth_visible,fonts,app_links,confidence,status,evidence
timeline,Timeline,https://www.timelinenutrition.com/,health,next,react,vercel,none,contentful,ga4,none,none,none,none,none,unknown,none,high,redirect,builder:next; frontend:react; hosting:vercel; cms:contentful; cms:sanity; analytics:ga4; final=https://www.timeline.com/
clinique-la-prairie,Clinique La Prairie,https://www.cliniquelaprairie.com/,brand,wordpress,vue,unknown,none,contentful,ga4|gtm,none,none,none,none,none,google,none,high,redirect,builder:wordpress; frontend:vue; cms:contentful; analytics:ga4; analytics:gtm; fonts:google; final=https://cliniquelaprairie.com/
seed,Seed,https://seed.com/,health,next,react,unknown,cloudflare,none,ga4|segment|amplitude,none,none,none,onetrust,none,unknown,none,high,ok,builder:next; builder:shopify; frontend:react; cdn:cloudflare; analytics:ga4; analytics:segment; analytics:amplitude; consent:onetrust
quest-health,Quest Health,https://questhealth.com/,health,unknown,unknown,unknown,cloudflare,none,ga4,none,stripe,none,none,none,unknown,none,medium,redirect,cdn:cloudflare; analytics:ga4; payments:stripe; final=https://www.questhealth.com/
vivoo,Vivoo,https://vivoo.io/,health,shopify,react,unknown,cloudflare|cloudfront,none,ga4|gtm|clarity,google-ads,none,zendesk,none,none,google,ios|android,high,redirect,builder:shopify; frontend:react; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:clarity; pixels:google-ads; chat:zendesk; fonts:google; app_links:ios; app_links:android; final=https://www.vivoo.io/
glycanage,GlycanAge,https://glycanage.com/,health,unknown,svelte,unknown,none,none,ga4|gtm,none,none,none,none,firebase,google,none,high,ok,frontend:svelte; analytics:ga4; analytics:gtm; auth_visible:firebase; fonts:google
lumen-me,Lumen (lumen.me),https://www.lumen.me/,health,unknown,unknown,unknown,cloudfront,none,ga4|gtm,none,none,none,none,none,google,none,medium,ok,cdn:cloudfront; analytics:ga4; analytics:gtm; fonts:google
dexcom,Dexcom,https://www.dexcom.com/,health,next,react,netlify,cloudflare,contentful,ga4|gtm,none,none,none,onetrust,firebase,unknown,none,high,ok,builder:next; frontend:react; hosting:netlify; cdn:cloudflare; cms:contentful; analytics:ga4; analytics:gtm; consent:onetrust; auth_visible:firebase
noom,Noom,https://www.noom.com/,health,wordpress,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm|mixpanel,tiktok,none,none,onetrust,none,unknown,none,high,ok,builder:wordpress; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:mixpanel; pixels:tiktok; consent:onetrust
macrofactor,MacroFactor,https://macrofactorapp.com/,health,wordpress,unknown,unknown,cloudflare,none,ga4,none,none,none,complianz,none,unknown,none,medium,redirect,builder:wordpress; cdn:cloudflare; analytics:ga4; consent:complianz; final=https://macrofactor.com/
lifesum,Lifesum,https://lifesum.com/,health,unknown,unknown,unknown,cloudfront,none,unknown,none,none,none,none,none,unknown,none,low,ok,cdn:cloudfront
openevidence,OpenEvidence,https://www.openevidence.com/,saas,unknown,unknown,vercel,none,none,unknown,none,none,none,none,none,unknown,none,low,blocked,hosting:vercel
myfitnesspal,MyFitnessPal,https://www.myfitnesspal.com/,health,next,react,unknown,cloudflare,none,ga4|gtm|amplitude,meta,none,none,none,none,unknown,ios|android,high,ok,builder:next; frontend:react; cdn:cloudflare; analytics:ga4; analytics:gtm; analytics:amplitude; pixels:meta; app_links:ios; app_links:android
higherdose,HigherDose,https://higherdose.com/,health,wordpress,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm|clarity,google-ads,none,hubspot,none,none,unknown,none,high,ok,builder:wordpress; builder:shopify; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:clarity; pixels:google-ads; chat:hubspot
therabody,Therabody,https://www.therabody.com/,health,shopify,unknown,unknown,cloudflare,none,ga4|gtm|hotjar,none,none,none,onetrust,none,unknown,ios|android,high,ok,builder:shopify; cdn:cloudflare; analytics:ga4; analytics:gtm; analytics:hotjar; consent:onetrust; app_links:ios; app_links:android
nutrisense,Nutrisense,https://www.nutrisense.io/,health,webflow,unknown,unknown,cloudflare|cloudfront,none,ga4,none,none,none,none,none,unknown,none,medium,ok,builder:webflow; cdn:cloudflare; cdn:cloudfront; analytics:ga4
hyperice,Hyperice,https://hyperice.com/,health,shopify,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm|hotjar,meta|tiktok|twitter|google-ads,none,zendesk,none,none,unknown,none,high,ok,builder:shopify; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:hotjar; pixels:meta; pixels:tiktok; pixels:twitter; pixels:google-ads; chat:zendesk
equinox,Equinox,https://www.equinox.com/,brand,next,react,unknown,cloudfront,contentful,ga4|clarity,meta|tiktok|google-ads,none,none,onetrust,none,google|adobe,none,high,ok,builder:next; frontend:react; cdn:cloudfront; cms:contentful; analytics:ga4; analytics:clarity; pixels:meta; pixels:tiktok; pixels:google-ads; consent:onetrust; fonts:google; fonts:adobe
ritual,Ritual,https://ritual.com/,health,shopify,unknown,unknown,cloudflare,none,ga4|amplitude,google-ads,none,none,none,none,adobe,none,high,ok,builder:shopify; cdn:cloudflare; analytics:ga4; analytics:amplitude; pixels:google-ads; fonts:adobe
headspace,Headspace,https://www.headspace.com/,health,next,react,unknown,cloudfront,contentful,ga4|gtm|amplitude,tiktok,none,none,onetrust,none,unknown,none,high,ok,builder:next; frontend:react; cdn:cloudfront; cms:contentful; analytics:ga4; analytics:gtm; analytics:amplitude; pixels:tiktok; consent:onetrust
ag1,AG1,https://drinkag1.com/,health,astro,unknown,vercel,none,none,ga4,none,none,none,none,none,unknown,none,medium,error,builder:astro; hosting:vercel; analytics:ga4
momentous,Momentous,https://www.livemomentous.com/,health,shopify,react,unknown,cloudflare|cloudfront,none,ga4|gtm|clarity,tiktok,none,none,none,none,unknown,none,high,ok,builder:shopify; frontend:react; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:clarity; pixels:tiktok
calm,Calm,https://www.calm.com/,health,squarespace,unknown,unknown,cloudflare|cloudfront,none,amplitude,meta|twitter|google-ads,stripe,none,none,none,google,none,high,blocked,builder:squarespace; cdn:cloudflare; cdn:cloudfront; analytics:amplitude; pixels:meta; pixels:twitter; pixels:google-ads; payments:stripe; fonts:google
moonbird,Moonbird,https://moonbird.life/,health,shopify,react,unknown,cloudflare,none,ga4|clarity,meta|tiktok|google-ads,none,intercom,none,none,google,ios|android,high,redirect,builder:shopify; frontend:react; cdn:cloudflare; analytics:ga4; analytics:clarity; pixels:meta; pixels:tiktok; pixels:google-ads; chat:intercom; fonts:google; app_links:ios; app_links:android; final=https://www.moonbird.life/
cronometer,Cronometer,https://cronometer.com/,health,webflow,unknown,unknown,cloudflare|cloudfront,none,ga4|amplitude,none,none,zendesk,none,none,google,ios|android,high,ok,builder:webflow; builder:wordpress; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:amplitude; chat:zendesk; fonts:google; app_links:ios; app_links:android
stripe,Stripe,https://stripe.com/,saas,next,react,unknown,none,contentful,ga4,none,stripe,none,none,none,unknown,none,high,ok,builder:next; frontend:react; cms:contentful; analytics:ga4; payments:stripe
alo-moves,Alo Moves,https://www.alomoves.com/,health,unknown,react,unknown,cloudflare|cloudfront,none,ga4|gtm|heap,meta|google-ads,stripe,none,osano,none,google|adobe,none,high,redirect,frontend:react; frontend:angular; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:heap; pixels:meta; pixels:google-ads; payments:stripe; consent:osano; fonts:google; fonts:adobe; final=https://wellnessclub.aloyoga.com/
arc-browser,Arc Browser,https://thebrowser.company/,saas,next,react,vercel,none,sanity,ga4,none,none,none,none,none,unknown,none,high,redirect,builder:next; frontend:react; hosting:vercel; cms:sanity; analytics:ga4; final=https://www.thebrowser.company/
on-running,On Running,https://www.on-running.com/,brand,nuxt,vue,unknown,cloudflare,contentful,ga4|gtm|amplitude,none,none,none,onetrust,none,unknown,none,high,redirect,builder:nuxt; frontend:vue; cdn:cloudflare; cms:contentful; analytics:ga4; analytics:gtm; analytics:amplitude; consent:onetrust; final=https://www.on.com/en-us/
family,Family,https://family.co/,saas,next,react,vercel,cloudflare,none,ga4|plausible,none,none,none,none,none,google,none,high,ok,builder:next; frontend:react; hosting:vercel; cdn:cloudflare; analytics:ga4; analytics:plausible; fonts:google
spotify,Spotify,https://www.spotify.com/,brand,unknown,unknown,unknown,fastly,none,ga4|hotjar|heap,meta|tiktok|twitter|google-ads,none,none,onetrust,none,unknown,none,high,redirect,cdn:fastly; analytics:ga4; analytics:hotjar; analytics:heap; pixels:meta; pixels:tiktok; pixels:twitter; pixels:google-ads; consent:onetrust; final=https://open.spotify.com/
typology,Typology,https://www.typology.com/,brand,nuxt,vue,unknown,cloudfront,none,ga4|gtm|clarity,none,none,none,none,none,unknown,none,high,ok,builder:nuxt; frontend:vue; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:clarity
limitless,Limitless,https://www.limitless.ai/,saas,next,react,vercel,cloudflare,none,ga4|gtm,none,none,none,none,none,unknown,ios|android,high,ok,builder:next; frontend:react; hosting:vercel; cdn:cloudflare; analytics:ga4; analytics:gtm; app_links:ios; app_links:android
endel,Endel,https://endel.io/,saas,next,react,unknown,cloudfront,none,ga4,none,paddle,zendesk,none,none,unknown,ios,high,ok,builder:next; frontend:react; cdn:cloudfront; analytics:ga4; payments:paddle; chat:zendesk; app_links:ios
clay-gtm,Clay,https://www.clay.com/,saas,webflow,angular,vercel,cloudflare|cloudfront,none,ga4|gtm|segment,none,none,hubspot,none,none,google,none,high,ok,builder:webflow; frontend:angular; hosting:vercel; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:segment; chat:hubspot; fonts:google
revolut,Revolut,https://www.revolut.com/,saas,next,react,unknown,cloudflare,none,ga4,google-ads,none,none,none,none,unknown,ios|android,high,ok,builder:next; frontend:react; cdn:cloudflare; analytics:ga4; pixels:google-ads; app_links:ios; app_links:android
ladder,Ladder,https://www.joinladder.com/,health,next,react,vercel,none,none,ga4,none,none,none,none,none,unknown,ios,high,ok,builder:next; frontend:react; hosting:vercel; analytics:ga4; app_links:ios
zero,Zero,https://zerolongevity.com/,health,framer,react,unknown,none,none,ga4|gtm,none,none,zendesk,osano,none,unknown,ios|android,high,ok,builder:framer; builder:wordpress; frontend:react; analytics:ga4; analytics:gtm; chat:zendesk; consent:osano; app_links:ios; app_links:android
hevy,Hevy,https://www.hevyapp.com/,health,wordpress,unknown,unknown,cloudflare,none,ga4|gtm,tiktok,none,zendesk,complianz,none,google,ios|android,high,ok,builder:wordpress; cdn:cloudflare; analytics:ga4; analytics:gtm; pixels:tiktok; chat:zendesk; consent:complianz; fonts:google; app_links:ios; app_links:android
guava,Guava,https://guavahealth.com/,health,unknown,unknown,unknown,cloudflare,none,ga4,none,none,none,none,none,unknown,ios|android,medium,ok,cdn:cloudflare; analytics:ga4; app_links:ios; app_links:android
athlytic,Athlytic,https://www.athlyticapp.com/,health,unknown,unknown,netlify,none,none,ga4,none,none,none,none,none,google,ios,medium,redirect,hosting:netlify; analytics:ga4; fonts:google; app_links:ios; final=https://athlyticapp.com/
playbook,Playbook,https://www.joinplaybook.com/,health,unknown,unknown,unknown,cloudfront,none,ga4|gtm,none,none,none,none,none,unknown,ios|android,high,redirect,cdn:cloudfront; analytics:ga4; analytics:gtm; app_links:ios; app_links:android; final=https://www.playbookapp.io/
finch,Finch,https://finchcare.com/,health,next,react,unknown,none,none,ga4|gtm,none,none,none,none,none,unknown,ios|android,high,ok,builder:next; frontend:react; analytics:ga4; analytics:gtm; app_links:ios; app_links:android
balance,Balance,https://themindcompany.com/apps/balance,health,next,react,vercel,none,contentful,ga4|gtm|amplitude,none,none,none,none,none,unknown,none,high,ok,builder:next; frontend:react; hosting:vercel; cms:contentful; analytics:ga4; analytics:gtm; analytics:amplitude
fabulous,Fabulous,https://www.thefabulous.co/,health,webflow,unknown,unknown,cloudflare|cloudfront,none,ga4,none,none,none,none,none,google,none,high,redirect,builder:webflow; cdn:cloudflare; cdn:cloudfront; analytics:ga4; fonts:google; final=https://v.thefabulous.co/home-control/
plunge,Plunge,https://plunge.com/,brand,shopify,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm,linkedin,none,none,none,none,unknown,ios,high,ok,builder:shopify; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; pixels:linkedin; app_links:ios
loop-earplugs,Loop Earplugs,https://www.loopearplugs.com/,brand,shopify,react,unknown,cloudflare|cloudfront,none,ga4|gtm|amplitude|hotjar|clarity,meta|google-ads,none,none,none,none,unknown,none,high,ok,builder:shopify; frontend:react; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:amplitude; analytics:hotjar; analytics:clarity; pixels:meta; pixels:google-ads
othership,Othership,https://www.othership.us/,brand,webflow,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm|hotjar,linkedin,none,none,none,none,unknown,ios|android,high,ok,builder:webflow; builder:shopify; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:hotjar; pixels:linkedin; app_links:ios; app_links:android
fiture,Fiture,https://www.fiture.com/us,health,next,react,unknown,cloudfront,none,ga4|gtm|hotjar,meta,none,none,onetrust,none,google,none,high,ok,builder:next; frontend:react; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:hotjar; pixels:meta; consent:onetrust; fonts:google
friend,Friend,https://friend.com/,saas,unknown,unknown,unknown,none,none,ga4,meta,none,none,none,none,unknown,none,medium,ok,analytics:ga4; pixels:meta
